system,specification_title,specification_title_value
https://www.flipkart.com/acer-k2-60-96-cm-24-inch-full-hd-va-panel-monitor-k242hyl/p/itme1c611c62ed05?pid=MONG5ZV3BQZ6DFGV&lid=LSTMONG5ZV3BQZ6DFGVE63P0W&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_355&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG5ZV3BQZ6DFGV.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Screen Form Factor,Flat
https://www.flipkart.com/acer-k2-60-96-cm-24-inch-full-hd-va-panel-monitor-k242hyl/p/itme1c611c62ed05?pid=MONG5ZV3BQZ6DFGV&lid=LSTMONG5ZV3BQZ6DFGVE63P0W&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_355&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG5ZV3BQZ6DFGV.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Display Screen Coating,LED Backlit
https://www.flipkart.com/acer-k2-60-96-cm-24-inch-full-hd-va-panel-monitor-k242hyl/p/itme1c611c62ed05?pid=MONG5ZV3BQZ6DFGV&lid=LSTMONG5ZV3BQZ6DFGVE63P0W&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_355&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG5ZV3BQZ6DFGV.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Maximum Refresh Rate,"60 Hz (Analog), 60 Hz (Digital)"
https://www.flipkart.com/acer-k2-60-96-cm-24-inch-full-hd-va-panel-monitor-k242hyl/p/itme1c611c62ed05?pid=MONG5ZV3BQZ6DFGV&lid=LSTMONG5ZV3BQZ6DFGVE63P0W&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_355&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONG5ZV3BQZ6DFGV.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Aspect Ratio,16:09
https://www.flipkart.com/dyanora-68-58-cm-27-inch-full-hd-va-panel-anti-glare-screen-ultra-slim-bezel-less-design-free-sync-2-x-3w-inbuilt-speakers-monitor-dy-mn27f0n/p/itmbd7d5d715dd8c?pid=MONGTDP7SEJR8D3A&lid=LSTMONGTDP7SEJR8D3AWEIJYG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_354&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGTDP7SEJR8D3A.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Model Name,DY-MN27F0N
https://www.flipkart.com/dyanora-68-58-cm-27-inch-full-hd-va-panel-anti-glare-screen-ultra-slim-bezel-less-design-free-sync-2-x-3w-inbuilt-speakers-monitor-dy-mn27f0n/p/itmbd7d5d715dd8c?pid=MONGTDP7SEJR8D3A&lid=LSTMONGTDP7SEJR8D3AWEIJYG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_354&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGTDP7SEJR8D3A.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Color,Black
https://www.flipkart.com/dyanora-68-58-cm-27-inch-full-hd-va-panel-anti-glare-screen-ultra-slim-bezel-less-design-free-sync-2-x-3w-inbuilt-speakers-monitor-dy-mn27f0n/p/itmbd7d5d715dd8c?pid=MONGTDP7SEJR8D3A&lid=LSTMONGTDP7SEJR8D3AWEIJYG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_354&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGTDP7SEJR8D3A.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Display,68.58 cm (27 inch) LED Display
https://www.flipkart.com/dyanora-68-58-cm-27-inch-full-hd-va-panel-anti-glare-screen-ultra-slim-bezel-less-design-free-sync-2-x-3w-inbuilt-speakers-monitor-dy-mn27f0n/p/itmbd7d5d715dd8c?pid=MONGTDP7SEJR8D3A&lid=LSTMONGTDP7SEJR8D3AWEIJYG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_354&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGTDP7SEJR8D3A.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Panel Type,VA Panel
https://www.flipkart.com/dyanora-68-58-cm-27-inch-full-hd-va-panel-anti-glare-screen-ultra-slim-bezel-less-design-free-sync-2-x-3w-inbuilt-speakers-monitor-dy-mn27f0n/p/itmbd7d5d715dd8c?pid=MONGTDP7SEJR8D3A&lid=LSTMONGTDP7SEJR8D3AWEIJYG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_354&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGTDP7SEJR8D3A.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Resolution,1920 x 1080 pixels
https://www.flipkart.com/dyanora-68-58-cm-27-inch-full-hd-va-panel-anti-glare-screen-ultra-slim-bezel-less-design-free-sync-2-x-3w-inbuilt-speakers-monitor-dy-mn27f0n/p/itmbd7d5d715dd8c?pid=MONGTDP7SEJR8D3A&lid=LSTMONGTDP7SEJR8D3AWEIJYG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_15_354&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=2519dc0f-da14-431a-9b24-980c7c28142a.MONGTDP7SEJR8D3A.SEARCH&ppt=None&ppn=None&ssid=rhyggaqam80000001740133788633&qH=08b5411f848a2581,Screen Resolution Type,Full HD
